"Competência","Publicação","Início Vigência"
"2023-09-01","2023-09-27","2023-10-01"
"2023-07-01","2023-07-31","2023-08-01"
"2023-05-01","2023-05-25","2023-06-01"
"2023-03-01","2023-03-30","2023-04-01"
"2023-02-01","2023-02-15","2023-02-15"
"2023-01-01","2023-01-09","2023-01-09"
"2022-11-01","2022-11-30","2022-12-01"
"2022-09-01","2022-09-30","2022-10-01"
"2022-07-01","2022-07-29","2022-08-01"
"2022-05-01","2022-05-31","2022-06-01"
"2022-03-01","2022-03-31","2022-04-01"
"2022-02-01","2022-02-24","2022-03-01"
"2022-01-01","2022-01-31","2022-02-01"
"2021-11-01","2021-11-30","2021-12-01"
"2021-08-01","2021-08-31","2021-08-01"
"2021-07-01","2021-07-31","2021-08-01"
"2021-06-01","2021-06-30","2021-07-01"
"2021-04-01","2021-04-30","2021-05-01"
"2021-03-01","2021-03-25","2021-04-01"
"2021-02-01","2021-02-26","2021-03-01"
"2020-12-01","2020-12-17","2021-01-01"
"2020-10-01","2020-10-29","2020-11-01"
"2020-08-01","2020-08-19","2020-08-19"
"2020-06-01","2020-06-30","2020-07-01"
"2020-05-01","2020-05-29","2020-06-01"
"2020-04-01","2020-04-03","2020-04-03"
"2020-03-01","2020-03-13","2020-03-13"
"2019-12-01","2019-12-31","2020-01-01"
"2019-09-01","2019-09-30","2019-10-01"
"2019-07-01","2019-07-26","2019-08-01"
"2019-05-01","2019-05-31","2019-06-01"
"2019-02-01","2019-02-28","2019-03-01"
"2017-12-01","2017-12-28","2018-01-01"
"2017-04-01","2017-04-10","2017-04-10"
"2016-09-01","2016-09-30","2016-10-01"
"2016-06-01","2016-06-10","2016-06-13"
"2016-05-01","2016-05-30","2016-06-01"
"2016-04-01","2016-04-18","2016-05-01"
"2016-01-01","2016-01-15","2016-01-15"
